UUID,Fully specified name:es,Same as mappings,Data class,Data type,Members
8b5d5939-0943-4197-80f9-c7009a760d30,EXAMEN DE TORCH,SES Lab:80090,Test,N/A,
e1098ae7-c2fe-4cac-be88-2fb6479784aa,"PERFIL DE DONANTE DE SANGRE (GRUPO SANGUÍNEO, HEMATOCRITO, VIH I-II, HBSAG, VHC, SÍFILIS,  CHAGAS, HTLV I-II Y ANTICORE HB)",SES Lab:80095,Test,N/A,
4b92b88e-caf2-42ac-aa54-0cff9e2be51d,"TAMIZAJE NEONATAL: (HIPOTIROIDISMO CONGÉNITO, HIPERPLASIA SUPRARRENAL, FENILCETONURIA, FIBROSIS QUÍSTICA)",SES Lab:80099,Test,N/A,
0a7e6d9d-a5e7-41a5-82a7-cc2e049c8711,SCREENING PARA DROGAS,SES Lab:80100,Test,N/A,
63fd9727-732c-468c-a963-ecf42ee84267,DOSAJE DE AMIKACINA,SES Lab:80150,Test,N/A,
000f32ef-b928-4d7c-a30c-1a25812b0a6d,DOSAJE DE BENZODIACEPINAS,SES Lab:80154,Test,N/A,
310058e8-90a4-41a7-b649-93bd2722927f,DOSAJE DE CARBAMACEPINA TOTAL,SES Lab:80156,Test,N/A,
1bd2a4fa-01f4-41a8-afa9-c77661e8dfe1,DOSAJE DE CICLOSPORINA,SES Lab:80158,Test,N/A,
0d39a4af-e800-438f-9c58-2f816e61dfa1,DOSAJE DE  DIGOXINA,SES Lab:80162,Test,N/A,
a9c76717-2ebf-44c1-9e3c-7f5c5a2b9cd9,DOSAJE DE ÁCIDO VALPROICO,SES Lab:80164,Test,N/A,
3af42e54-0df2-4f11-b8cc-4dab58a4971c,DOSAJE DE GENTAMICINA,SES Lab:80170,Test,N/A,
1e21c5b7-e475-4e4a-895a-7b3fe288534b,DOSAJE DE LITIO,SES Lab:80178,Test,N/A,
4e6ca633-10a7-424a-8abe-af3db033dc4a,DOSAJE DE MICOFENOLATO (ÁCIDO MICOFENÓLICO),SES Lab:80180,Test,N/A,
74170fc5-4fbb-4835-8762-4b43799ea8bc,DOSAJE DE FENOBARBITAL,SES Lab:80184,Test,N/A,
ff6a2be5-e2aa-4d77-bf3f-d9bebe043898,DOSAJE DE FENITOÍNA TOTAL,SES Lab:80185,Test,N/A,
36909bfe-7368-457d-949f-daa30b63e050,DOSAJE DE PRIMIDONA,SES Lab:80188,Test,N/A,
646fa594-a327-463b-9db2-06c78c6c6659,DOSAJE DE PROCAINAMIDA,SES Lab:80190,Test,N/A,
64e0293e-2932-4b2b-8b43-ad825a11eac2,DOSAJE DE QUINIDINA,SES Lab:80194,Test,N/A,
76beae93-1f47-48e2-abf4-be95e07a7db0,DOSAJE DE SALICILATO,SES Lab:80196,Test,N/A,
1e9264c4-d007-4132-9f62-cf3364fc7a0f,DOSAJE DE TRACOLIMUS,SES Lab:80197,Test,N/A,
e7bf646a-f3ad-48a8-9aa4-926ebdd76e5f,DOSAJE DE TEOFILINA,SES Lab:80198,Test,N/A,
00cd0a1b-4f34-4c67-859e-2f2d383243ff,DOSAJE DE TOBRAMICINA,SES Lab:80200,Test,N/A,
37d861da-38fc-4d31-9241-43f8a089c3b4,DOSAJE DE VANCOMICINA,SES Lab:80202,Test,N/A,
e31ef917-2699-4231-a54c-0d1db437879f,DOSAJE DE METOTREXATE,SES Lab:80203,Test,N/A,
b9e9a2c7-39bc-4f30-a5f1-24e477cf77a9,DOSAJE DE METOTREXATO,SES Lab:80300,Test,N/A,
98792cb1-4c3c-451d-9bfa-2f86b559615e,EXAMEN DE ORINA CON TIRA REACTIVA,SES Lab:81000,Test,N/A,
60277e96-5960-4ff9-995c-b70806ca58a7,EXAMEN DE ORINA AUTOMATIZADO CON MICROSCOPÍA,SES Lab:81001,Test,N/A,
f22ccfdf-2f07-4607-b95d-99c8356e0165,EXAMEN DE ORINA  NO AUTOMATIZADO CON MICROSCOPÍA,SES Lab:81003,Test,N/A,
e880a846-fbc9-46ad-9086-1b72c88411a0,"ANÁLISIS DE ORINA CUALITATIVO O SEMICUANTITATIVO, EXCEPTO INMUNOENSAYOS",SES Lab:81005,Test,N/A,
2f235701-ecac-426d-bf10-d1c208579f43,TIRA REACTIVA PARA BACTERIURIA,SES Lab:81007,Test,N/A,
1acd81d4-5a16-4e92-bd14-eebfdbc81579,EXAMEN MICROSCÓPICO DE SEDIMENTO URINARIO,SES Lab:81015,Test,N/A,
07b472aa-a31e-4d5f-8b14-c467ae8ce988,TEST DE EMBARAZO EN ORINA,SES Lab:81025,Test,N/A,
9c73bff6-3727-4076-89d6-0d54e11904a6,ESTUDIO DE ORINA 24 HORAS,SES Lab:81050,Test,N/A,
0a30946e-6e88-48ea-aeea-c71dc72267ba,"ANÁLISIS GENÉTICO FLT3 (TIROSONA QUINASA 3 RELACIONADO A FMS) (P. EJ. LEUCEMIA MIELOIDE AGUDA), VARIANTES DE DUPLICACIÓN DE TANDEM INTERNO (ITD) (P. EJ. EXONES 14, 15)",SES Lab:81245,Test,N/A,
b4aeb523-db55-4135-ac0a-1b55e0ff4e62,"ANÁLISIS GENÉTICO JAK2 (JANUS QUINASA 2) (P. EJ. ENFERMEDAD MIELOPROLIFERATIVA), VARIANTE P.VAL617PHE (V617F)",SES Lab:81270,Test,N/A,
6c9b1335-6431-4c50-9971-1ed89669895e,"ANÁLISIS GENÉTICO NPM1 (NUCLEOFOSMINA) (P. EJ. LEUCEMIA MIELOIDE AGUDA), 12 VARIANTES DE EXON",SES Lab:81310,Test,N/A,
34fc59cd-1f4f-4cda-8f97-9672c2607c54,ACETAMINOFENO,SES Lab:82003,Test,N/A,
6e5547da-7f75-441f-9beb-5c569c89bb3f,ADENOSINADEAMINASA (ADA),SES Lab:82020,Test,N/A,
ae664144-0445-4546-98e2-ac5ecc02ed1d,HORMONA ADRENOCORTICOTRÓPICA (ACTH),SES Lab:82024,Test,N/A,
f3cf7ebf-dd82-49ab-9c40-e1e6cfbf8a44,MEDICIÓN DE ALBÚMINA SÉRICA,SES Lab:82040,Test,N/A,
1c2e801f-3097-49fe-a9c6-0091b9483631,"ALBÚMINA URINARIA, CUANTITATIVA",SES Lab:82042,Test,N/A,
55c1b27b-fc44-40f2-8086-cd957fab48db,MICROALBUMINURIA CUANTITATIVA EN ORINA,SES Lab:82043,Test,N/A,
24e492d6-b7c6-43dc-b385-10e12951adcb,PROTEINURIA CUALITATIVA EN ORINA (TIRA REACTIVA),SES Lab:82044,Test,N/A,
4bf99f22-c2ff-45be-b2e0-9123c51b6f08,ALCOHOL EN SANGRE,SES Lab:82055,Test,N/A,
a987802d-c8cb-4f0d-9e74-fc8def0da389,ALDOLASA,SES Lab:82085,Test,N/A,
82d8508c-61fb-4b7c-9ee4-30e79c3e678f,ALDOSTERONA,SES Lab:82088,Test,N/A,
5792e2f2-385b-43ba-ac03-555c4aaddb29,"ALFA-1-ANTITRIPSINA, TOTAL",SES Lab:82103,Test,N/A,
4c461ee3-747b-4606-896c-dd49aa02dd4f,ALFA FETOPROTEÍNA (AFP) SÉRICA,SES Lab:82105,Test,N/A,
fbcad431-ac9e-4c2a-ad25-2baa9d1bef7e,ACIDO DELTA-AMINOLEVULÍNICO (ALA),SES Lab:82135,Test,N/A,
28a31942-6183-4135-b217-e28a7d334938,AMONÍACO,SES Lab:82140,Test,N/A,
03c7543c-877e-4ac7-be4d-672b25caca03,ESPECTROFOTOMETRÍA DEL LÍQUIDO AMNIÓTICO,SES Lab:82143,Test,N/A,
ce043160-abf7-4770-b7f2-f9be0585bcb4,ANFETAMINA O METANFETAMINA,SES Lab:82145,Test,N/A,
a4fb1b86-d41b-4a1d-b5f9-cfd5836620e9,DOSAJE DE AMILASA,SES Lab:82150,Test,N/A,
0ef3c883-6b11-4b95-b00f-dccfa2f03f3b,ANDROSTENEDIONA,SES Lab:82157,Test,N/A,
0843c1a9-aab5-4759-9d22-89a096d9db48,ANGIOTENSINA II,SES Lab:82163,Test,N/A,
3ea19141-92b9-41c0-a239-f9bc4998c995,APOLIPOPROTEINA,SES Lab:82172,Test,N/A,
82f83113-8c52-4bdf-9b36-2a067fdea297,BETA-2-MICROGLOBULINA,SES Lab:82232,Test,N/A,
6def6a9b-699f-407f-a632-0f9af51d81cb,BILIRRUBINA TOTAL,SES Lab:82247,Test,N/A,
a87aa622-1e4f-4a41-b1da-f350cedb7d1d,BILIRRUBINA DIRECTA,SES Lab:82248,Test,N/A,
65076b01-a4bd-485f-b1ec-5929f24b19c3,"SANGRE OCULTA EN HECES, 1-3 DETERMINACIONES",SES Lab:82270,Test,N/A,
89781eda-f196-47db-bd91-2bcee0ffbd63,CALCIO SÉRICO,SES Lab:82310,Test,N/A,
9470acb0-bb08-4004-82b0-f22491d8821c,CALCIO IONIZADO,SES Lab:82330,Test,N/A,
c82a0687-6cba-486d-9086-5d004ea2b3ab,CALCIO URINARIO CUANTITATIVO,SES Lab:82340,Test,N/A,
b621c8d0-ae80-4199-940d-d310d23055d2,"CÁLCULO, ANÁLISIS CUALITATIVO",SES Lab:82355,Test,N/A,
a65341c0-2237-404c-adae-1cf9de68e20a,ANTÍGENO CARCINOEMBRIONARIO (CEA),SES Lab:82378,Test,N/A,
b9e8a113-ffb6-45d3-ad06-9d70030d4954,"CARNITINA (TOTAL Y LIBRE), CUANTITATIVO, CADA MUESTRA",SES Lab:82379,Test,N/A,
c82e563c-206d-4bab-b585-243be87d3c3d,"CATECOLAMINAS, TOTALES, ORINA",SES Lab:82382,Test,N/A,
ab1ba2e1-2dca-49b2-b8d1-5d6752b44e2e,CERULOPLASMINA,SES Lab:82390,Test,N/A,
406904c2-4fbe-4515-ab80-b36975c02222,"CLORURO, EN SANGRE",SES Lab:82435,Test,N/A,
cab29b94-dace-48de-8848-2c11d2dcdc8d,"CLORURO, EN ORINA",SES Lab:82436,Test,N/A,
a73d2ac2-329e-4b6c-a2b7-12507cbd4230,"COLESTEROL TOTAL, EN SUERO O SANGRE TOTAL",SES Lab:82465,Test,N/A,
70760ff5-3d04-46e5-a806-cdf460951b2b,DOSAJE DE COLINESTERASA EN SUERO,SES Lab:82480,Test,N/A,
451c43cd-7319-4a0e-b846-ac8312f57589,COCAINE OR METABOLITE,SES Lab:82520,Test,N/A,
63081af0-56de-4958-8120-51a96b77c286,"CORTISOL, LIBRE",SES Lab:82530,Test,N/A,
9b8ff24b-4f6e-44dc-befd-795a06b5d722,CORTISOL TOTAL,SES Lab:82533,Test,N/A,
1c94f878-a584-4f01-9a33-dba4787e4c2d,CREATINA,SES Lab:82540,Test,N/A,
1338eb31-eb41-4091-b6de-f410dd63ffef,CREATINA FOSFOQUINASA TOTAL (CPK-TOTAL),SES Lab:82550,Test,N/A,
00bb2c00-bc93-4a5c-bfeb-ab5aaa8bb965,CREATINA FOSFOQUINASA MB (CPK-MB),SES Lab:82553,Test,N/A,
a0b69fb2-a5e5-42f9-92b3-10df91af8d9b,CREATININA EN SANGRE,SES Lab:82565,Test,N/A,
f0dfa873-dc41-4de8-b0a3-0d02fbf48e22,CREATININA (24 HRS.),SES Lab:82570,Test,N/A,
ba5742b2-0bc1-4bbd-b79d-9de10df313e3,DEPURACIÓN DE CREATININA,SES Lab:82575,Test,N/A,
d0a29a50-bc6d-49b8-9465-096ada1d50de,CRIOGLOBULINA,SES Lab:82595,Test,N/A,
43dcb961-abb1-4294-aa14-108fa5f027bb,DOSAJE DE CIANOCOBALAMINA (VITAMINA B12),SES Lab:82607,Test,N/A,
abe850e9-1c98-47bd-ac76-c261f308afd8,DEHIDROEPINANDROSTERONA SULFATO DHEA - SO4,SES Lab:82627,Test,N/A,
95a0b696-326e-4e60-9f0c-a08c91c2731c,ERITROPOYETINA,SES Lab:82668,Test,N/A,
f7d90ca8-8c9b-49d3-afbb-1a22707fa5b4,ESTRADIOL,SES Lab:82670,Test,N/A,
ebb7c0ef-e7d5-42ae-972b-6b1b5cfd7552,"ESTRÓGENOS, FRACCIONADOS",SES Lab:82671,Test,N/A,
86b834cf-667c-4280-bcdd-e4b104115e40,ESTRIOL,SES Lab:82677,Test,N/A,
2ac82c68-7e80-444b-979d-1b8dea713352,ESTRONA,SES Lab:82679,Test,N/A,
934a80ec-a6c8-46c4-9b11-910b29cdebfe,GRASAS O LÍPIDOS FECALES,SES Lab:82705,Test,N/A,
8cea39f2-dab5-4e80-981c-87aa0776f1b9,"GRASAS O LÍPIDOS FECALES, CUANTITATIVOS",SES Lab:82710,Test,N/A,
6885d63e-690e-486e-a547-7a170e87857f,FERRITINA,SES Lab:82728,Test,N/A,
b6bd1cb0-402c-41a1-b580-d9a7df136b65,FIBRONECTINA,SES Lab:82731,Test,N/A,
0ec511f6-2f58-4ba8-b03d-d0ee79b13f94,ÁCIDO FÓLICO SÉRICO,SES Lab:82746,Test,N/A,
fca52597-8481-4a86-b735-04125b95222b,FRUCTOSA EN SEMEN,SES Lab:82757,Test,N/A,
44855153-a741-4401-9d06-995f7de1312c,GALACTOSA,SES Lab:82760,Test,N/A,
3203e8c1-a817-44b7-822a-589bda0b5917,"GAMMAGLOBULINA, IGA, IGD, IGG, IGM CADA UNA",SES Lab:82784,Test,N/A,
6aac4dd3-7af5-4ec1-a740-e2c8877d4e61,"GAMMAGLOBULINA, IGE",SES Lab:82785,Test,N/A,
44258e66-1762-47eb-af03-9d9f16c50255,"GASES EN SANGRE, PH SOLAMENTE",SES Lab:82800,Test,N/A,
30208b2c-08ad-4ae8-825b-c373804e1797,GASES ARTERIALES,SES Lab:82803,Test,N/A,
255f13e8-b648-4d23-94f2-14fc2aca121a,RESERVA ALCALINA,SES Lab:82804,Test,N/A,
86788e69-ce0d-4a5d-8e0b-09b435491eea,GASTRINA,SES Lab:82941,Test,N/A,
1e835e94-e99b-4238-b128-d0d4c4e77e30,GLUCAGÓN,SES Lab:82943,Test,N/A,
d690a3b4-a04b-4872-9d42-a3026fe34778,GLUCOSA EN OTROS FLUIDOS CORPORALES (NO SANGRE),SES Lab:82945,Test,N/A,
53a9fa2b-541f-4af2-935a-6ef108306066,GLUCOSA CUANTITATIVA EN SANGRE,SES Lab:82947,Test,N/A,
59b7e423-8cba-4db1-976e-e7f036667839,GLUCOSA (TIRA REACTIVA),SES Lab:82948,Test,N/A,
7458aafa-ece4-46e4-b4f4-c0c057b6b9c5,PRUEBA DE SOBRECARGA DE GLUCOSA,SES Lab:82950,Test,N/A,
372fbb35-0ccd-46af-ac25-d297d8b01595,"GLUCOSA, PRUEBA DE TOLERANCIA, TRES MUESTRAS",SES Lab:82951,Test,N/A,
c668aee7-3dd6-4a67-886b-2cab3e094b58,DOSAJE G6PDH,SES Lab:82955,Test,N/A,
330aed71-04b8-43f5-95bf-ee2c6c2a9c3a,"GLUTAMIL TRANSFERASA, GAMMA (GGT)",SES Lab:82977,Test,N/A,
bef3b4ca-e39c-4b38-bdab-8e13d08828d2,PROTEÍNA GLUCOSILADA,SES Lab:82985,Test,N/A,
487a4970-611f-4c7b-b0a3-262634a493bf,FSH,SES Lab:83001,Test,N/A,
f914cc63-4f67-4713-a70f-54edddd77789,LH,SES Lab:83002,Test,N/A,
0e54da3b-e3cf-414c-b7e6-0e9752dc27a8,HORMONA DE CRECIMIENTO HUMANA (SOMATOTROPINA),SES Lab:83003,Test,N/A,
38e8f240-75ad-4b7a-a42c-0d1b3a47f755,HAPTOGLOBINA CUANTITATIVA,SES Lab:83010,Test,N/A,
dfbcf1da-a919-4707-ba82-0f6af0e880fa,"METALES PESADOS (ARSÉNICO, BARIO, BERILIO, BISMUTO, ANTIMONIO, MERCURIO)",SES Lab:83015,Test,N/A,
4b955de8-95f4-4d1d-8d9a-c9a91000f162,"HEMOGLOBINA, FRACCIONAMIENTO Y ANÁLISIS CUANTITATIVO, ELECTROFORESIS (P. EJ., A2, S, C Y/O F)",SES Lab:83020,Test,N/A,
6a8359b1-1a43-4ceb-9392-2c1b047dbb7f,"HEMOGLOBINA, FRACCIONAMIENTO Y ANÁLISIS CUANTITATIVO, CROMATOGRAFÍA (P. EJ., A2, S, C Y/O F)",SES Lab:83021,Test,N/A,
6c22ec49-5310-454c-90a1-0847f0eaaaa5,"HEMOGLOBINA,  F(FETAL), ANÁLISIS QUÍMICO",SES Lab:83030,Test,N/A,
d71a7c90-ab18-421a-a0b9-b19c38dda964,DOSAJE DE HEMOGLOBINA GLICOSILADA,SES Lab:83036,Test,N/A,
28761dcd-89a6-4705-b6b2-8b9f2da9e5e4,"HEMOSIDERINA, CUALITATIVA",SES Lab:83070,Test,N/A,
dba6387e-4640-461b-9b67-de255f2a26fd,HOMOCISTEÍNA,SES Lab:83090,Test,N/A,
b23f899d-97b5-4758-bb66-5ed50fe07eda,"HIDROXICORTICOSTEROIDES, 17- (17-OHCS)",SES Lab:83491,Test,N/A,
864aa60b-1b3d-426b-87ae-faa6f935a47e,"ACIDO HIDROXIINDOLACÉTICO, 5-(HIAA)",SES Lab:83497,Test,N/A,
97f41412-6ee1-49fc-80b7-4ad144eff750,"HIDROXIPROGESTERONA, 17-D",SES Lab:83498,Test,N/A,
226169a7-7072-42b1-8b24-e3e99624590d,"HIDROXIPROLINA, TOTAL",SES Lab:83505,Test,N/A,
9b65d4d9-8042-4cf7-b3ed-32f68a521a54,OTRO INMUNOENSAYO (DOSAJE DE ENOLASA ESPECÍFICA),SES Lab:83520,Test,N/A,
58db3a12-9efa-4918-b483-36f232c62992,INMUNOHISTOQUÍMICA POR MARCADOR,SES Lab:83521,Test,N/A,
3bfac9dd-5f96-4b4e-aaa8-5b3926471652,INSULINA,SES Lab:83525,Test,N/A,
e0029c72-cbda-48bc-8ff4-458ac0b71aa2,HIERRO SÉRICO,SES Lab:83540,Test,N/A,
abba7e9b-0657-4555-bf35-c6e601fc2276,CAPACIDAD DE LIGAR EL HIERRO,SES Lab:83550,Test,N/A,
edcf444b-653e-475c-bde1-3398456d4f18,"CETOSTEROIDES, 17- (17-KS), TOTALES",SES Lab:83586,Test,N/A,
e973c303-6871-4b98-8a02-7323d41249b3,LACTATO (ÁCIDO LÁCTICO),SES Lab:83605,Test,N/A,
948bf404-554f-471c-8f2a-185736af68ff,LACTATO DESHIDROGENASA (LDH),SES Lab:83615,Test,N/A,
af719b4e-ddfd-448e-b6dc-2d511f6cca8a,"LACTATO DESHIDROGENASA (LD), (LDH), ISOENZIMAS, SEPARACIÓN Y DETERMINACIÓN CUANTITATIVA",SES Lab:83625,Test,N/A,
994c699e-c180-4e19-998f-0714fc5625d8,"LACTOSA EN ORINA, CUANTITATIVA",SES Lab:83634,Test,N/A,
5a2fbbea-bfba-4b91-a8bb-06958165f46d,FOSFATIDILGLICEROL Ó RATIO LECITINA/ESFINGOMIELINA,SES Lab:83661,Test,N/A,
f7eddb10-b02c-443c-840e-825ff07a6ece,"TEST DE CLEMENTS LECITINA-ESFINGOMIELINA,",SES Lab:83662,Test,N/A,
ee5a9512-7cfb-45c3-83a7-9b73fa75c3ed,LIPASA,SES Lab:83690,Test,N/A,
b009e4c5-e8de-4735-8098-14c28a87ea6d,"LIPOPROTEÍNAS EN SANGRE, SEPARACIÓN Y DETERMINACIÓN CUANTITATIVA POR ELECTROFORESIS",SES Lab:83715,Test,N/A,
68d45f21-c69d-44c3-829c-fcf68c64d2d1,HDL COLESTEROL,SES Lab:83718,Test,N/A,
0f2819ea-8bba-4e84-b0e0-1874497be617,VLDL COLESTEROL,SES Lab:83719,Test,N/A,
de790d12-5405-439a-8adf-0dd5d44d6fd5,LDL COLESTEROL,SES Lab:83721,Test,N/A,
c2aed255-d6ca-43a5-b056-e37effe11eaf,MAGNESIO,SES Lab:83735,Test,N/A,
8797a704-9a1f-47f0-8fb9-914567d24685,MIOGLOBINA,SES Lab:83874,Test,N/A,
99ff162e-9bab-4453-92cb-d26999d4060c,REACCIÓN EN CADENA DE LA POLIMERASA (PCR),SES Lab:83898,Test,N/A,
8cb50e3b-41fa-4731-844b-b526009f5b80,"OPIÁCEOS (P. EJ., MORFINA, MEPERIDINA)",SES Lab:83925,Test,N/A,
f456381f-b3df-4a3d-aaf7-acec134f4cff,"OSMOLALIDAD, SANGRE",SES Lab:83930,Test,N/A,
5dac6c0b-b201-4a52-9c9b-06f02b3bb44c,"OSMOLALIDAD, ORINA",SES Lab:83935,Test,N/A,
623947a7-497a-4094-aa60-c11750a5e824,PARATOHORMONA (PTH),SES Lab:83970,Test,N/A,
47e96602-c8e6-4332-86cb-c53ae083c3d7,"PH EN LÍQUIDO CORPORAL, EXCEPTO SANGRE (PH VAGINAL, TEST DE NITRAZINA)",SES Lab:83986,Test,N/A,
d1b54862-62d6-4155-b5f4-eb8995c71154,"FENILALANINA (PKU), EN SANGRE",SES Lab:84030,Test,N/A,
ed7ab1b2-313c-406d-80fe-0930c64a9169,"FOSFATASA ÁCIDA, TOTAL",SES Lab:84060,Test,N/A,
93b184f0-cef0-4d01-83eb-4a459800f393,FOSFATASA ÁCIDA PROSTÁTICA,SES Lab:84066,Test,N/A,
07d20dbe-3f08-472b-8d90-f6222a1cb2b5,FOSFATASA ALCALINA,SES Lab:84075,Test,N/A,
b3f0c4a3-00ed-4974-a018-61b85426bdff,"FOSFATASA ALCALINA, ISOENZIMAS",SES Lab:84080,Test,N/A,
861c5eab-b6cc-4784-b4fc-fb5fcae8b77c,FOSFOLÍPIDOS,SES Lab:84081,Test,N/A,
5cd79a0a-4b93-43e7-8dd0-684e9cadb275,FÓSFORO EN SANGRE,SES Lab:84100,Test,N/A,
0b11392f-b63f-43b4-8353-95794678e44b,"FÓSFORO INORGÁNICO (FOSFATO), EN ORINA",SES Lab:84105,Test,N/A,
3774cf00-3b94-4703-80bf-1d5f44db6781,"PORFOBILINÓGENO EN ORINA, CUALITATIVO",SES Lab:84106,Test,N/A,
1d103534-c329-40ef-9f81-4fdfe7908fad,"PORFIRINAS EN ORINA, CUALITATIVAS",SES Lab:84119,Test,N/A,
22a53268-e629-498c-8f25-57a7887f70af,"PORFIRINAS FECALES, CUANTITATIVAS",SES Lab:84126,Test,N/A,
9055c499-469d-4233-9993-e881e0f766bf,POTASIO SÉRICO,SES Lab:84132,Test,N/A,
26dbb69b-f2eb-4489-9797-aa8d219fedd2,"POTASIO, EN ORINA",SES Lab:84133,Test,N/A,
c9e0f177-eb51-4b89-a773-7ff0786d20ea,PREGNANDIOL,SES Lab:84135,Test,N/A,
35346790-2919-4688-ab6f-d8073162d02f,PROGESTERONA,SES Lab:84144,Test,N/A,
546df725-38e8-4940-bbfa-d3398f8b9a22,PROCALCITONINA,SES Lab:84145,Test,N/A,
68ac915d-102c-4a0e-a2a5-554caba746ce,PROLACTINA,SES Lab:84146,Test,N/A,
34d4f246-456f-428b-90f4-1dd1f0e08247,ANTÍGENO PROSTÁTICO ESPECÍFICO (PSA),SES Lab:84152,Test,N/A,
6697f61a-13e3-4688-8834-7fc3dbd1a780,ANTÍGENO PROSTÁTICO ESPECÍFICO (PSA) LIBRE,SES Lab:84154,Test,N/A,
d3a6025b-9980-4990-9920-6f28f22cd373,PROTEÍNAS TOTALES,SES Lab:84155,Test,N/A,
6ac0b5cb-17da-42eb-888f-cc0e859e2ec2,PROTEINURIA DE 24 HORAS,SES Lab:84156,Test,N/A,
6f027636-78d2-4bf2-b098-2b8fe8c2d4af,PROTEÍNAS EN OTROS FLUIDOS CORPORALES,SES Lab:84157,Test,N/A,
0ba31627-5bf5-4926-aa70-50f71a069822,"PROTEÍNAS, FRACCIONAMIENTO Y DETERMINACIÓN CUANTITATIVA POR ELECTROFORESIS",SES Lab:84165,Test,N/A,
a4021086-c2d0-4aa8-bd0b-6ba7d5a9b8e5,DOSAJE DE PIRIDOXINA (VITAMINA B6),SES Lab:84207,Test,N/A,
7adeed01-5429-4115-93de-9332b0093a54,PIRUVATO QUINASA (PK),SES Lab:84220,Test,N/A,
ce55b057-40b5-4819-b35f-c7f4ad3fc9fe,RENINA,SES Lab:84244,Test,N/A,
95bd91cd-60aa-4190-98fa-e7069446b365,SODIO SÉRICO,SES Lab:84295,Test,N/A,
0ee1cfa4-2518-4b22-a25f-9c5b52caa2b2,"SODIO, ORINA",SES Lab:84300,Test,N/A,
8059dadd-718f-4950-91aa-9e11bd8baf4e,SOMATOMEDINA,SES Lab:84305,Test,N/A,
667524cc-5ff9-41ca-bef6-e9ef0da035aa,SUSTANCIAS REDUCTORAS,SES Lab:84376,Test,N/A,
d5a853d5-92c2-42fa-9d58-1fd077187b2e,TESTOSTERONA,SES Lab:84402,Test,N/A,
db99cc33-7a10-4517-ad01-9fe7f11a665f,"TESTOSTERONA, TOTAL",SES Lab:84403,Test,N/A,
f5534d00-7939-44ba-8877-ba611df54e39,TETRAHYDROCANNABINOL THC (MARIJUANA),SES Lab:84408,Test,N/A,
52083a65-71df-4566-a0b2-2bb8f7c82368,TIROGLOBULINA,SES Lab:84432,Test,N/A,
382bdca2-c2b5-422f-b5e6-1685374f085f,"TIROXINA, TOTAL",SES Lab:84436,Test,N/A,
62818ecc-c236-46b0-a6d7-3cd9d7c5d8f6,"TIROXINA, LIBRE",SES Lab:84439,Test,N/A,
5823cf8f-dd65-4575-8cac-1db993970fee,"GLOBULINA, TRANSPORTADORA DE TIROXINA (TBG)",SES Lab:84442,Test,N/A,
11868212-9f95-4c47-bc97-07e21c2c8f74,DOSAJE DE HORMONA TIROESTIMULANTE (TSH),SES Lab:84443,Test,N/A,
